Id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,Class
4294145c73b1,51307.169976,91949.575463,34045.910326,73020.294646,38666.155875,61849.968219,16657.876545,51881.066785,22583.945811,18896.788325,57639.110026,7543.317282,3362.698179,95904.241090,5207.747816,81294.913976,66007.622132,5317.536327,25880.160330,23790.805346,78017.165101,61781.250051,55163.405465,50555.984580,33360.649757,45929.933190,57819.263374,59290.875698,79526.600202,12297.479432,58793.046379,41825.445815,85189.257418,70208.937956,36659.473187,27714.440974,53879.266313,75786.237954,12705.674281,6416.614448,25647.708966,21082.045196,253.283723,22561.328449,73505.056649,85085.580021,13958.916081,54804.662729,7479.676059,1576.433003,8600.892937,89656.907078,8260.127683,87345.419052,98690.370323,34207.513615,0
1bc7ddc065bd,85352.239133,32963.399792,39773.180426,82311.674662,93000.795729,95662.141369,10583.504799,39110.232581,28079.966644,9711.362080,42989.639674,85535.800674,69521.020978,48351.244310,12841.224171,21658.976031,59576.532541,17839.415713,14569.749577,92399.375390,76516.425937,32674.209774,25571.603353,54784.034200,5959.851839,12540.133870,90086.924634,14261.937968,87835.522034,6807.257769,5287.527123,51166.920403,67843.055005,60210.026282,96336.727051,29580.009436,8644.071562,20684.125145,28802.782805,38153.188193,61019.125863,59891.175565,30674.017869,22184.378692,73361.988186,24044.118633,65993.727276,39082.378470,97473.984982,26004.593668,70710.196512,89934.386017,15507.691790,42632.433550,8302.861239,77045.309960,1
23e610dc9d53,50089.669004,45659.432048,57595.240137,16318.650487,40291.549366,24720.532677,72729.769629,14454.488476,9343.600137,48657.448143,34975.807111,28523.706101,35359.499730,92859.851736,55375.057212,56861.776309,25553.109480,15313.530468,84523.462096,15083.592728,66132.801695,93625.623253,45617.884169,30501.996368,93308.534809,74971.595782,99770.560175,36150.283217,52857.205806,29403.590233,42270.642846,54338.270018,43130.683800,86290.299079,78282.451437,21699.011841,91585.669199,22378.160229,16696.745260,9695.097772,87940.528542,46696.580830,83015.143366,50504.058421,9942.161091,66021.060565,48302.630768,15997.188519,497.301091,12770.749314,37230.440885,39836.608486,98621.891763,29652.169549,53429.465096,52073.926952,1
b4569c7b09d2,10571.213969,14847.667440,24640.753301,34121.307275,79726.916421,45030.917268,52791.713527,25955.377302,84534.861960,5274.606837,93097.069739,4949.640541,73880.959379,99100.781372,9156.340714,59576.168547,17639.841332,84171.982540,77492.834247,68131.426999,76007.191976,3484.696650,52240.013136,7917.154542,32140.770796,48635.703773,90568.042217,3699.262120,22409.956664,68663.518210,92929.794950,58536.489733,88397.052121,58946.535173,16927.905153,44688.977608,14294.129156,39638.618893,44066.493178,51704.152168,77557.513755,8671.576822,79528.027092,20619.210076,50759.780739,27585.413907,93758.257979,66521.634818,99783.143557,2214.778268,18054.796181,56251.103771,18922.248361,76148.517111,36189.952614,72984.261252,1
39023d334976,93477.689772,71844.158899,54917.181379,3643.910603,63788.706563,6898.974030,63688.749975,39680.322753,7218.735580,92288.495411,19013.982303,63038.292723,1219.778356,45980.699438,6249.134537,88618.492342,15969.533389,46000.890739,80124.455966,75299.590439,60529.079184,58262.208885,70518.089895,61163.846891,98585.688998,90457.347656,58997.223039,86874.430053,16986.365538,29315.520951,66764.090241,72304.697939,98337.548433,18408.635014,27376.384858,92298.611246,15116.080388,47284.661180,1967.012176,69054.207457,12819.425617,61091.119462,3798.162876,53286.420784,19720.776292,93704.930530,23839.940154,4004.827853,76071.098953,23926.923099,94615.731384,37787.340876,63369.433998,70959.477946,65607.244138,74437.027522,1
a39a492a6f92,10439.631059,49913.360431,32144.330254,36223.452422,40113.145040,39541.405975,39551.894486,20158.351205,31955.402507,44565.079351,54519.214533,31614.029581,87813.370238,3277.563695,31156.980319,45711.870853,16722.897456,37037.584217,63974.278001,54338.549095,15538.002382,61841.049320,34793.559560,85282.526303,90275.732460,37329.415974,80876.134683,42707.014029,22790.050763,65705.618160,30825.201341,87820.035545,88832.713580,52955.460111,6567.485036,91296.911025,47029.144752,52876.053504,43334.071144,84665.271563,19930.819030,43287.702446,19781.604232,88659.980735,40731.333723,81421.176526,60199.589375,69469.948480,42763.325489,86639.601722,59928.896461,69763.352117,9183.875435,73950.104493,84915.682833,82877.846548,1
ecae4624fde0,91723.965348,45260.243760,83707.528246,33879.438818,31732.954915,40425.645273,16709.135017,88816.451079,47004.265737,56628.361055,68332.179115,82839.694093,26359.816643,89631.997175,16650.410276,16208.373578,25660.993687,22466.218754,48360.091457,99820.744902,38228.581799,39026.820880,23297.652466,71804.953075,73574.914341,33096.756941,57568.603040,17330.015648,34080.860868,97432.210786,88676.634476,83133.615016,88945.659756,16246.365105,856.510047,76595.810941,14790.621809,30726.525505,68449.594867,44588.379989,17175.226594,10185.486371,27819.149921,53514.423619,80070.320979,77779.648938,12730.128573,23694.288022,82715.814138,44653.534530,53197.789698,15877.473240,44980.082754,7467.818093,23397.555441,25500.353208,0
d228afa36786,82355.666195,52370.229735,55902.235898,59927.168209,8832.188891,75211.477203,1772.434537,25084.497635,44198.987074,19755.106320,50651.489011,42739.996627,72809.825830,78794.014396,89715.170772,96435.403533,54742.214438,45610.610223,6107.274147,20651.511091,12655.898992,82625.235452,4277.527919,93558.379679,14257.735914,78168.535830,16597.130386,63925.796512,86816.256110,93313.764775,37317.366000,85654.110815,75740.490380,74821.646622,7697.224305,20666.139575,54089.214024,83457.945090,1766.118408,55269.819580,5045.526010,76349.108585,50210.724530,47283.916429,37677.004865,3845.561424,59950.872008,77269.712154,49340.875498,61189.108508,60769.280566,75674.997113,61461.655801,83847.575355,69653.952913,52020.731047,0
06c6de9fbed4,85398.193714,26400.840275,9985.150848,59608.866237,18328.345986,91880.503054,70784.442711,74604.958903,76839.737223,86153.364606,90593.999101,4019.673004,90865.670306,37295.232890,44282.352958,63794.958123,26997.871997,20874.814093,37047.312160,3199.197857,44726.927124,96666.170516,82791.631239,13615.067122,70137.559159,25511.377831,13390.240190,49040.190400,2786.281916,23212.146729,67642.056375,47456.159403,44482.523452,3992.112125,8139.220419,67707.198995,24263.112938,79998.918691,72357.741437,21249.621545,39426.019128,71941.080300,47309.842881,15759.863771,42606.569372,39372.612121,81509.456961,78485.737289,24590.597568,99370.499067,72352.444191,53759.600990,75855.128480,46081.775331,5607.835933,9790.051794,1
1d4976a2f441,55742.127091,32557.662638,3080.288055,93986.901232,85140.951694,31221.302775,12016.759585,49468.421681,3241.448048,14140.201489,33817.235000,73582.343352,75089.005763,94296.704924,58923.794107,90051.538313,59917.507898,69075.491105,34762.839462,19606.832124,82858.424814,69250.915565,72408.787759,64351.278765,59619.910447,61317.049384,40921.658860,30817.153745,47553.575075,34277.975493,16393.185355,95381.996045,15322.960707,91652.021998,15023.037364,65945.231595,80647.021182,54823.417042,8609.174084,47927.437831,40503.381802,48161.739998,81120.619190,43001.742905,18984.752351,57781.993191,23698.591436,83524.461457,66487.220378,66268.201996,84868.740135,12671.854871,11718.139986,34792.760327,61951.354620,50222.338534,0
fb0cece9b6bd,86153.447756,49221.089902,24978.425364,77019.288752,53878.758668,25235.172662,54833.686888,5720.810339,91756.339744,85172.686896,52638.833902,32034.118890,11096.985966,10949.905795,24846.761671,92371.926526,70266.640893,5958.627261,39076.167498,32986.829372,43195.973272,84278.800532,68025.412999,95857.659831,87372.864788,90013.555719,50075.888720,19032.718542,44315.803025,36449.931524,72190.872077,98767.817425,32103.229986,17691.719767,22223.269741,13810.348637,91408.394857,92793.016956,82583.605523,74846.860564,94061.690355,36555.604584,87517.726111,24389.940477,60155.761224,29885.445438,62732.179601,16388.122959,92609.202651,56792.353720,41249.626069,59770.164128,77304.877630,36216.552152,6047.202505,19397.277227,0
26d78b71bcf1,57335.757655,82904.049317,21612.051002,24375.920833,1879.642413,94466.219751,19723.067734,809.282677,48076.359154,18196.530345,4370.479526,94198.339577,93222.095159,75334.507620,85733.320096,77094.800539,23975.081064,66742.949919,53734.627041,37813.103527,88652.014261,57559.114251,37850.974370,90167.492413,6283.966817,40276.530020,86898.960428,5363.062539,23196.686086,7737.354135,68990.657380,65560.763464,14636.472863,81277.469019,2372.700230,71202.148116,50737.373057,22916.398940,48479.544149,36047.940758,62941.297355,9009.183738,2659.434431,73847.253192,58002.177921,60374.751247,32706.634057,45083.874069,7101.981305,88124.124896,40511.724841,26778.828818,32168.399434,44661.173239,21087.886772,39530.008500,1
9f56ec5e24d0,67741.509208,99923.668951,12030.751186,49178.445895,44145.164109,36231.972849,73584.180799,23431.017912,89998.350614,62620.911341,73757.754207,36844.087233,207.948550,80249.066490,31205.958998,35462.986629,31543.307739,33093.971977,61657.629678,38228.432148,45688.440572,45076.765440,3665.327799,4954.740078,95043.336195,61651.382809,56921.763029,35974.009789,44234.615852,86142.311590,23723.416654,66138.170774,25349.983792,60204.432238,82227.666131,84538.500867,56686.472777,66138.085423,25344.087729,17295.789181,7832.693432,15791.006581,93610.848505,35096.583968,54501.665521,23162.318577,62768.705688,5211.429386,28973.716933,10057.435836,37948.995709,78696.988699,93812.996825,1894.162868,47736.714391,62100.849220,0
c671813ec24e,77058.783909,75675.498746,73179.634860,55493.960654,87585.239350,66152.699182,38734.942414,75361.917955,34632.418262,46287.894942,62335.558518,53946.186620,88046.167204,42319.641498,58928.782401,83314.679759,68583.233038,99944.063408,49182.212888,45695.011951,67022.193422,51557.186876,49457.628747,76031.642786,24980.655189,17224.809761,41725.720164,38041.238958,17724.599445,59404.340851,42062.613189,11704.024250,44983.960225,26669.725420,87163.147452,80329.405348,61971.321011,70712.503460,31974.873011,29448.427315,93355.075501,89523.776646,83648.971169,76139.938662,59882.731946,57474.118319,74682.872234,48175.427281,48280.518493,75746.780837,17420.184437,42577.805191,40653.232943,62673.451937,49677.354626,86147.089006,1
3558ef4da42f,62232.559279,10654.852432,91858.288092,83622.259875,37135.827222,81400.436624,40469.620273,35204.519032,4808.068423,31274.572997,33101.864001,65387.953000,31470.168898,40063.140618,99246.184015,92016.593162,70771.723349,94199.933012,67762.689288,94973.624016,77676.679426,93550.844932,67749.954555,35635.042722,54959.709450,2660.672073,53274.501273,67798.162804,6149.194567,80283.646832,43423.380086,59879.580019,54618.466102,86722.146259,4087.240002,3289.048255,81489.263947,46169.856216,78050.961715,91812.106750,20692.150343,9805.460393,64476.895093,38430.225711,98076.636293,65867.905302,89036.320991,95005.649042,87810.431578,86997.912020,68405.143636,25582.535434,60045.704534,50121.168599,94036.296374,57025.854714,0
1a9ccc8bbde4,83229.698312,29745.936369,83997.335498,6480.565038,18944.572062,52636.972789,82282.860626,64615.877936,68214.198891,38956.190482,26280.472666,12978.490413,47358.940200,71417.323798,39865.902810,25347.100335,82141.198220,43210.330103,67165.063181,20038.937512,51979.166693,7460.438099,68995.541230,63321.613478,54419.185590,53916.910167,1465.018572,58464.130090,68536.932874,4133.379723,45471.796373,96671.984894,95834.434625,51299.058183,40826.055457,75530.789598,27348.637929,55101.951832,29509.341421,97549.203663,27566.262328,27972.638932,12914.547237,33619.272551,42653.442198,82850.772372,62169.342212,2083.077420,87070.879493,47197.400577,57233.456001,25828.143530,57974.903848,26353.080857,18580.545121,38542.023216,0
5e37f1bb0086,81521.843432,98037.743793,12239.632089,86698.833822,14673.567482,64999.151200,91010.850525,9293.397917,17645.980019,78269.630331,63341.712568,17338.214598,76622.335783,70284.657531,31272.705727,10843.010995,92659.033135,81074.109072,17213.481203,9242.303554,10177.055052,64712.393737,92080.828495,8837.085411,75746.090105,37146.287148,68210.761479,7212.848999,66653.473291,71005.279120,80266.443921,63061.604544,21912.507102,78947.735271,34227.018085,68944.657763,89049.037531,42858.356691,44502.111173,84075.280805,2493.015737,18473.214302,98476.038183,30066.901251,70102.198145,48496.550731,92967.029237,81975.401156,56807.218497,21993.167970,32189.567960,11359.904071,95123.723661,70958.123117,94193.290614,53490.071694,1
71cd9ff77c63,92324.496822,36898.008656,21641.384210,76043.344996,37340.646382,62855.663263,52977.723966,64264.640534,47947.523770,95303.754625,71928.488693,22382.505788,65046.084503,92672.610773,58321.170881,8842.998732,65831.650092,74863.283990,53004.179472,23236.205134,20118.160901,98431.693795,61968.693765,63110.061342,17891.907148,97040.894183,81318.051580,95974.485640,99218.301006,6043.661172,93123.890355,32639.343910,12868.818072,75404.981392,27651.627077,34492.047196,78284.593835,66136.215381,59465.306682,85589.767519,34101.563387,5900.888950,49136.223587,94135.762367,70676.131397,14018.176442,47750.161839,1057.441162,79966.404395,29211.006563,1.143868,17376.821935,12758.652199,5138.033962,32553.092537,88783.734519,1
61e999d8c170,72587.002920,38916.874701,48553.274303,82048.209003,24377.928881,45156.712917,2923.781763,88891.731532,24206.737851,61610.528647,89320.009751,64018.393738,79487.704731,16093.096730,51642.365915,92499.990512,36575.749355,61730.577950,69610.162107,5926.739446,92897.568522,39444.436888,77078.516872,91012.323011,76285.429620,40363.934353,66775.447696,11584.487363,94980.631851,74183.206158,8237.151753,3667.193267,45054.736469,45140.208800,55143.651119,86910.840210,8726.114453,7005.078236,90735.980392,51837.180125,56872.490771,99272.561379,6234.615581,62958.875047,62370.246952,68361.922328,72928.426026,72898.535406,22164.491093,37821.581735,18200.319587,44141.356755,84060.133628,32406.047280,21047.089363,3756.623798,1
4317da236e2d,89152.527606,95458.145302,98829.066722,73192.105381,4001.569923,8039.536684,32338.792048,64434.281701,23158.782651,26087.377163,1459.386689,37854.939552,72510.625515,84866.871627,43927.421828,73713.713229,23681.481707,46914.507408,28467.837968,73689.387969,30988.475471,95157.595877,63768.355730,12014.455863,80054.920426,67201.346426,52180.525517,26864.818284,4922.313187,21030.296141,6758.255424,8333.490125,29690.470782,67735.321201,3612.925591,63795.452024,31548.066839,85683.337707,16095.675843,80396.174037,47692.285619,10340.305839,80831.771885,70995.489951,12346.971410,99074.291098,80749.140143,37571.424241,48869.741332,95020.209950,4136.549486,72309.533091,78790.108832,91033.802878,96233.948793,85552.766522,0
f9236349bb72,7869.499379,265.300983,66205.567807,47546.334310,13162.432454,7167.348994,69040.336601,97739.800492,71313.552968,77149.704647,93456.771316,43563.205579,15758.229868,44408.262892,11837.792254,99736.434097,64465.685718,83270.531557,20084.974889,97013.019507,60316.188259,52115.107450,69766.599326,17748.934141,77822.527425,8591.513103,942.681240,43915.385892,27671.893554,38611.970364,3888.919392,76403.916880,14913.789157,23226.382336,62100.343384,34150.072094,55176.234568,59330.809270,53789.113315,20423.686166,90969.210190,86329.892287,4154.587643,48768.053896,80289.474919,51383.166724,26523.709997,26504.143179,76914.019859,42357.276162,78372.849859,91985.343965,37084.390772,79601.440703,55391.566893,75265.324985,1
63e747633905,68876.976399,75408.633386,38992.927416,68890.393858,91158.975491,9509.732860,34261.482012,97941.924105,53298.115211,73123.399582,96762.384000,22248.607630,71473.328948,38603.383799,45676.305488,76353.586234,22635.396201,41362.412912,82066.179002,51317.173664,79977.571948,26344.622263,71210.156797,3474.015402,27379.377498,32864.396258,64113.735629,53758.951660,98257.081986,19677.304348,71486.902110,95058.154678,36076.534128,65991.062597,92268.553933,33624.970954,62001.449291,35069.026610,86314.198247,19112.990906,78910.283637,58063.946844,44680.466587,24873.539275,80428.295938,32395.437212,38073.303665,35850.751527,18467.470666,81399.354542,90703.720669,74588.533661,94660.297588,92668.636172,17238.489616,39478.315314,0
28cd7618098d,99838.717775,75381.141780,28696.530328,60931.919714,98911.994844,39381.934418,95141.472813,34344.613033,61902.754805,66028.443301,540.302440,31332.463286,1282.623897,71372.268245,79528.718252,70438.357479,89197.092552,36940.168101,96099.226565,78006.981230,40906.529647,55240.205949,64371.243168,10330.266694,74197.127366,89016.326631,14797.973057,61844.849244,18617.068848,20612.054327,77420.510107,68746.502024,52163.609966,63803.523772,3700.958247,78977.162861,95379.672042,71126.321744,8112.461391,12456.577408,97596.322385,124.198962,48549.963430,22375.158307,64383.052446,6758.446230,2600.259367,65744.330160,61997.696546,17940.937223,10292.045110,28360.136728,14365.676601,45522.301227,53412.793841,71014.555305,0
a0dd59b926bf,65436.826106,22102.384238,83068.665676,342.191643,51020.518767,36260.086808,62272.936567,85356.030226,28820.636354,36738.777568,56087.809325,24535.593634,14110.095466,13184.889122,52189.357053,14736.446242,37975.776412,16561.762590,48361.568361,48114.604968,23271.244526,76616.457136,66879.455582,33576.852507,9225.545804,66673.793926,7712.067815,59697.746820,32016.362929,31846.721277,53738.562065,55881.369709,65776.842972,26464.958375,26199.395557,3132.398012,90329.174153,69368.153017,35989.006316,18088.994194,58794.216497,15630.627937,62175.365633,47143.825507,96092.401511,9603.861446,65104.120345,81825.042603,23766.125881,96662.739979,11711.405572,31842.085120,96385.498058,26811.289686,65887.964325,30919.746612,1
d25ae8472998,93140.186728,84121.189897,2078.807803,61956.819656,35899.332835,43778.040538,14987.529232,46536.597395,16912.954005,69175.277850,10057.661120,73539.568397,94273.764380,32243.781605,66065.581532,75291.177042,65515.682768,3161.009002,70505.131348,30072.111570,11391.957010,97826.282099,46353.650651,73426.224225,40119.411151,53385.984009,65923.419127,22484.202819,27779.174952,49574.077635,66667.144041,88161.068857,48331.294562,66391.768677,27979.330844,59844.241525,30952.515141,49563.289260,76158.876822,12505.751370,29018.870026,9941.764482,4625.052932,51219.193450,28216.402694,4963.033650,59744.403471,12144.876228,96653.375924,14943.297162,7665.308120,94150.839194,38192.217561,55810.477546,65482.659561,38253.789726,1
3d233e0c4de2,62694.311747,6380.912238,27136.918681,16203.614808,48072.312777,43596.302196,33061.697725,20698.298158,77036.286329,28271.781871,17770.832951,16472.464585,70824.272862,45902.560904,34066.527763,71328.503632,45442.835138,79421.334952,94727.124903,75752.954306,49456.004449,3887.698453,5168.433578,74920.473644,1646.001588,26690.410816,47567.841484,62601.388012,70632.579820,33080.789260,58473.283740,21578.509421,74210.495507,19893.906068,98890.827562,13570.172269,79745.793886,983.832131,80593.192440,70556.546866,47945.779391,60791.244965,44013.615120,42118.886639,66708.853427,98540.837024,962.725461,83648.336675,35447.216686,81297.585531,4492.864992,65476.863156,32.214884,45139.594100,16680.532532,51981.314105,0
edaf73449d66,96397.236374,73814.996604,80137.118960,96079.532781,88368.641453,6820.689153,3925.092887,13995.093492,13850.378066,27141.933116,20993.686365,67553.553978,39401.594399,80168.687959,72844.404102,87551.915606,91598.450958,37863.567040,41226.731871,52052.518061,5172.479843,26555.183515,40479.417867,38379.346559,6188.426625,46550.576003,79137.308565,31967.036848,9337.743628,613.780295,27132.504373,18159.100111,86219.513605,31303.291545,73522.709988,62010.699047,99043.524680,77027.848401,51495.255092,35335.300482,83797.927248,50208.494314,76457.455362,61336.324863,21819.305699,23238.952644,57622.781968,57745.421256,32877.468392,72864.154880,38358.465442,50486.801753,21892.295719,48462.708146,95904.852180,74917.961780,1
2110e3681964,1672.522698,20880.827622,18324.735611,9752.209733,9659.551358,25740.752158,27725.440418,68222.894551,36457.576402,20773.781715,84311.449173,37994.206819,78105.497949,52977.263685,70811.615161,28299.339939,44867.951279,10707.655900,40388.909193,70558.738915,62338.583503,32624.208151,8722.818699,25764.802470,50279.962929,73195.673534,26722.569438,38293.200990,5476.697861,12973.718692,29851.019821,67098.752836,64788.155231,35138.963121,55841.847323,99305.966993,11642.899471,62617.158050,80556.454193,62986.059466,37753.974017,90580.316264,31742.566855,94327.327213,4935.444507,95484.761882,46295.088303,50359.122122,75143.078911,42389.082075,63659.947421,21449.592742,86348.537601,49761.396105,4208.896535,78062.675903,0
847eee407300,44068.329757,94077.749524,41498.404198,45703.247177,60417.982671,27409.514919,79727.506433,64141.292404,26776.424412,97318.061870,25594.615803,52826.045901,77254.495224,85033.089383,57214.305192,95306.179475,9927.194180,58786.002064,19138.697481,38354.969722,88357.642014,84489.631792,45027.623021,90368.581528,47093.044135,29149.455216,35749.953467,32136.789795,56132.885715,77838.528822,29258.081735,72239.905866,19831.427556,34718.803277,24105.510373,25758.126758,82433.218060,57594.441489,56421.758091,63826.591665,82752.131115,48590.474875,80303.573893,52659.902226,24935.236266,92646.578369,36024.448400,55136.169158,34770.538167,8126.190752,46211.751740,41663.570892,43878.413113,84850.453445,16519.667930,56954.290734,0
