,word,pos_tag
900,abscind,NN
901,abscise,NN
902,abscised,VBN
903,abscises,NNS
904,abscising,VBG
905,abscisins,NNS
906,abscision,NN
907,absciss,NN
908,abscissa,NN
909,abscissae,NN
910,abscissas,NN
911,abscisse,NN
912,abscissin,NN
913,abscission,NN
914,abscissions,NNS
915,absconce,NN
916,abscond,NN
917,absconded,VBD
918,abscondedly,RB
919,abscondence,NN
920,absconder,NN
921,absconders,NNS
922,absconding,VBG
923,absconds,NNS
924,absconsa,NN
925,abscoulomb,NN
926,abscound,NN
927,absee,NN
928,absey,NN
929,abseil,NN
930,abseiled,VBN
931,abseiling,VBG
932,abseils,NNS
933,absence,NN
934,absences,NNS
935,absent,NN
936,absentation,NN
937,absented,VBN
938,absentee,NN
939,absenteeism,NN
940,absentees,NNS
941,absenteeship,NN
942,absenter,NN
943,absenters,NNS
944,absentia,NN
945,absenting,VBG
946,absently,RB
947,absentment,NN
948,absentminded,VBD
949,absentmindedly,RB
950,absentmindedness,NN
951,absentness,NN
952,absents,NNS
953,absfarad,NN
954,abshenry,NN
955,absi,NN
956,absinth,NN
957,absinthe,NN
958,absinthes,NNS
959,absinthial,JJ
960,absinthian,JJ
961,absinthiate,NN
962,absinthiated,VBN
963,absinthiating,VBG
964,absinthic,JJ
965,absinthiin,NN
966,absinthin,NN
967,absinthine,NN
968,absinthism,NN
969,absinthismic,JJ
970,absinthium,NN
971,absinthol,NN
972,absinthole,NN
973,absinths,NNS
974,absyrtus,NN
975,absis,NN
976,absist,NN
977,absistos,NNS
978,absit,NN
979,absmho,NN
980,absohm,NN
981,absoil,NN
982,absolent,NN
983,absolute,NN
984,absolutely,RB
985,absoluteness,NN
986,absoluter,NN
987,absolutes,NNS
988,absolutest,NN
989,absolution,NN
990,absolutions,NNS
991,absolutism,NN
992,absolutist,NN
993,absolutista,NN
994,absolutistic,JJ
995,absolutistically,RB
996,absolutists,NNS
997,absolutive,JJ
998,absolutization,NN
999,absolutize,VB
1000,absolutory,NN
1001,absolvable,JJ
1002,absolvatory,NN
1003,absolve,NN
1004,absolved,VBN
1005,absolvent,NN
1006,absolver,NN
1007,absolvers,NNS
1008,absolves,NNS
1009,absolving,VBG
1010,absolvitor,NN
1011,absolvitory,NN
1012,absonant,NN
1013,absonous,JJ
1014,absorb,NN
1015,absorbability,NN
1016,absorbable,JJ
1017,absorbance,NN
1018,absorbancy,NN
1019,absorbant,NN
1020,absorbed,NNS
1021,absorbedly,RB
1022,absorbedness,NN
1023,absorbefacient,NN
1024,absorbency,NN
1025,absorbencies,NNS
1026,absorbent,NN
1027,absorbents,NNS
1028,absorber,NN
1029,absorbers,NNS
1030,absorbing,VBG
1031,absorbingly,RB
1032,absorbition,NN
1033,absorbs,NNS
1034,absorbtion,NN
1035,absorpt,NN
1036,absorptance,NN
1037,absorptiometer,NN
1038,absorptiometric,NN
1039,absorption,NN
1040,absorptional,JJ
1041,absorptions,NNS
1042,absorptive,JJ
1043,absorptively,RB
1044,absorptiveness,NN
1045,absorptivity,NN
1046,absquatulate,NN
1047,absquatulation,NN
1048,abstain,NN
1049,abstained,VBN
1050,abstainer,NN
1051,abstainers,NNS
1052,abstaining,VBG
1053,abstainment,NN
1054,abstains,NNS
1055,abstemious,JJ
1056,abstemiously,RB
1057,abstemiousness,NN
1058,abstention,NN
1059,abstentionism,NN
1060,abstentionist,NN
1061,abstentions,NNS
1062,abstentious,JJ
1063,absterge,NN
1064,absterged,VBN
1065,abstergent,NN
1066,absterges,NNS
1067,absterging,VBG
1068,absterse,NN
1069,abstersion,NN
1070,abstersive,JJ
1071,abstersiveness,NN
1072,abstertion,NN
1073,abstinence,NN
1074,abstinency,NN
1075,abstinent,NN
1076,abstinential,JJ
1077,abstinently,RB
1078,abstort,NN
1079,abstr,NN
1080,abstract,NN
1081,abstractable,JJ
1082,abstracted,VBN
1083,abstractedly,RB
1084,abstractedness,NN
1085,abstracter,NN
1086,abstracters,NNS
1087,abstractest,NN
1088,abstracting,VBG
1089,abstraction,NN
1090,abstractional,JJ
1091,abstractionism,NN
1092,abstractionist,NN
1093,abstractionists,NNS
1094,abstractions,NNS
1095,abstractitious,JJ
1096,abstractive,JJ
1097,abstractively,RB
1098,abstractiveness,NN
1099,abstractly,RB
1100,abstractness,NN
1101,abstractor,NN
1102,abstractors,NNS
1103,abstracts,NNS
1104,abstrahent,NN
1105,abstrict,NN
1106,abstricted,VBN
1107,abstricting,VBG
1108,abstriction,NN
1109,abstricts,NNS
1110,abstrude,NN
1111,abstruse,NN
1112,abstrusely,RB
1113,abstruseness,NN
1114,abstrusenesses,NNS
1115,abstruser,NN
1116,abstrusest,NN
1117,abstrusion,NN
1118,abstrusity,NN
1119,abstrusities,NNS
1120,absume,NN
1121,absumption,NN
1122,absurd,NN
1123,absurder,NN
1124,absurdest,NN
1125,absurdism,NN
1126,absurdist,NN
1127,absurdity,NN
1128,absurdities,NNS
1129,absurdly,RB
1130,absurdness,NN
1131,absurds,NNS
1132,absurdum,NN
1133,absvolt,NN
1134,abt,NN
1135,abterminal,JJ
1136,abthain,NN
1137,abthainry,NN
1138,abthainrie,NN
1139,abthanage,NN
1140,abtruse,NN
1141,abu,NN
1142,abubble,JJ
1143,abucco,NN
1144,abuilding,VBG
1145,abuleia,NN
1146,abulia,NNS
1147,abulias,NNS
1148,abulic,NN
1149,abulyeit,NN
1150,abulomania,NN
1151,abumbral,JJ
1152,abumbrellar,NN
1153,abuna,NN
1154,abundance,NN
1155,abundances,NNS
1156,abundancy,NN
1157,abundant,NN
1158,abundantia,NN
1159,abundantly,RB
1160,abune,NN
1161,abura,NN
1162,aburabozu,NN
1163,aburagiri,NN
1164,aburban,NN
1165,aburst,RB
1166,aburton,NN
1167,abusable,JJ
1168,abusage,NN
1169,abuse,NN
1170,abused,VBN
1171,abusedly,RB
1172,abusee,NN
1173,abuseful,NN
1174,abusefully,RB
1175,abusefulness,NN
1176,abuser,NN
1177,abusers,NNS
1178,abuses,NNS
1179,abush,NN
1180,abusing,VBG
1181,abusion,NN
1182,abusious,JJ
1183,abusive,JJ
1184,abusively,RB
1185,abusiveness,NN
1186,abut,NN
1187,abuta,NN
1188,abutilon,NN
1189,abutilons,NNS
1190,abutment,NN
1191,abutments,NNS
1192,abuts,NNS
1193,abuttal,NN
1194,abuttals,NNS
1195,abutted,VBN
1196,abutter,NN
1197,abutters,NNS
1198,abutting,VBG
1199,abuzz,NN
1200,abv,NN
1201,abvolt,NN
1202,abvolts,NNS
1203,abwab,NN
1204,abwatt,NN
1205,abwatts,NN
1206,ac,NN
1207,acacatechin,NN
1208,acacatechol,NN
1209,acacetin,NN
1210,acacia,NN
1211,acacian,JJ
1212,acacias,NNS
1213,acaciin,NN
1214,acacin,NN
1215,acacine,NN
1216,acad,NN
1217,academe,NN
1218,academes,NNS
1219,academy,NN
1220,academia,NN
1221,academial,JJ
1222,academian,JJ
1223,academias,NNS
1224,academic,JJ
1225,academical,JJ
1226,academically,RB
1227,academicals,NNS
1228,academician,JJ
1229,academicians,NNS
1230,academicianship,NN
1231,academicism,NN
1232,academics,NNS
1233,academie,NN
1234,academies,NNS
1235,academise,NN
1236,academised,VBN
1237,academising,VBG
1238,academism,NN
1239,academist,NN
1240,academite,NN
1241,academization,NN
1242,academize,VB
1243,academized,VBN
1244,academizing,VBG
1245,academus,NN
1246,acadia,NN
1247,acadialite,NN
1248,acadian,JJ
1249,acadie,NN
1250,acaena,NN
1251,acajou,NN
1252,acajous,JJ
1253,acalculia,NNS
1254,acale,NN
1255,acaleph,NN
1256,acalepha,NN
1257,acalephae,NN
1258,acalephan,NN
1259,acalephe,NN
1260,acalephes,NNS
1261,acalephoid,NN
1262,acalephs,NN
1263,acalycal,JJ
1264,acalycine,NN
1265,acalycinous,JJ
1266,acalyculate,NN
1267,acalypha,NN
1268,acalypterae,NN
1269,acalyptrata,NNS
1270,acalyptratae,NN
1271,acalyptrate,NN
1272,acamar,NN
1273,acampsia,NN
1274,acana,NN
1275,acanaceous,JJ
1276,acanonical,JJ
1277,acanth,NN
1278,acantha,NN
1279,acanthaceae,NN
1280,acanthaceous,JJ
1281,acanthad,NN
1282,acantharia,NNS
1283,acanthi,NN
1284,acanthia,NN
1285,acanthial,JJ
1286,acanthin,NN
1287,acanthine,NN
1288,acanthion,NN
1289,acanthite,NN
1290,acanthocarpous,JJ
1291,acanthocephala,NN
1292,acanthocephalan,NN
1293,acanthocephali,NN
1294,acanthocephalous,JJ
1295,acanthocereus,NN
1296,acanthocladous,JJ
1297,acanthodea,NN
1298,acanthodean,NN
1299,acanthodei,NN
1300,acanthodes,NNS
1301,acanthodian,JJ
1302,acanthodidae,NN
1303,acanthodii,NN
1304,acanthodini,NN
1305,acanthoid,NN
1306,acantholimon,NN
1307,acantholysis,NN
1308,acanthology,NN
1309,acanthological,JJ
1310,acanthoma,NN
1311,acanthomas,NN
1312,acanthomeridae,NN
1313,acanthon,NN
1314,acanthopanax,NN
1315,acanthophis,NN
1316,acanthophorous,JJ
1317,acanthopod,NN
1318,acanthopodous,JJ
1319,acanthopomatous,JJ
1320,acanthopore,NN
1321,acanthopteran,NN
1322,acanthopteri,NN
1323,acanthopterygian,JJ
1324,acanthopterygii,NN
1325,acanthopterous,JJ
1326,acanthoses,NNS
1327,acanthosis,NN
1328,acanthotic,JJ
1329,acanthous,JJ
1330,acanthuridae,NN
1331,acanthurus,NN
1332,acanthus,RB
1333,acanthuses,NNS
1334,acanthuthi,NN
1335,acapnia,NN
1336,acapnial,JJ
1337,acapnias,NNS
1338,acappella,NN
1339,acapsular,NN
1340,acapu,NN
1341,acapulco,NN
1342,acara,NN
1343,acarapis,NN
1344,acarari,NN
1345,acardia,NN
1346,acardiac,NN
1347,acardite,NN
